측정 시간,배치 순서,재생 딜레이(초),오디오 길이(초),배치 간 시간(초)
2025-11-18 01:51:28,38,-0.4599,1.7600,1.9801
2025-11-18 01:51:30,39,0.3148,1.8800,2.0748
2025-11-18 01:51:33,40,0.5716,2.6000,2.4516
2025-11-18 01:51:35,41,-0.5210,1.9600,2.0790
2025-11-18 01:51:37,42,0.1854,2.2000,2.1454
2025-11-18 01:51:39,43,-0.2270,1.6400,1.9730
2025-11-18 01:51:41,44,0.9193,2.6800,2.5593
2025-11-18 01:51:43,45,-0.9090,1.3600,1.7710
2025-11-18 01:51:46,46,1.0693,2.5200,2.4293
2025-11-18 01:51:48,47,-0.5118,1.6400,2.0082
2025-11-18 01:51:50,48,0.6282,2.4800,2.2682
2025-11-18 01:51:52,49,-0.2327,2.3200,2.2473
2025-11-18 01:51:54,50,-0.3599,2.0000,1.9601
2025-11-18 01:51:56,51,0.1632,2.3200,2.1632
2025-11-18 01:51:58,52,-0.5742,1.6800,1.7458
2025-11-18 01:52:00,53,0.6604,2.5600,2.3404
2025-11-18 01:52:02,54,-0.4339,2.1200,2.1261
2025-11-18 01:52:05,55,0.1067,2.4800,2.2267
2025-11-18 01:52:07,56,-0.3430,2.1200,2.1370
2025-11-18 01:52:09,57,-0.1486,1.9200,1.9714
2025-11-18 01:52:11,58,0.0868,2.3200,2.0068
2025-11-18 01:52:13,59,-0.3293,1.6000,1.9907
2025-11-18 01:52:15,60,0.4254,1.8800,2.0254
2025-11-18 01:52:17,61,0.4007,2.6400,2.2807
2025-11-18 01:52:19,62,-0.4115,2.0800,2.2285
2025-11-18 01:52:21,63,-0.1466,1.8000,1.9334
2025-11-18 01:52:23,64,0.3107,2.2000,2.1107
2025-11-18 01:52:26,65,0.2078,2.7600,2.4078
2025-11-18 01:52:28,66,-0.7712,2.0000,1.9888
2025-11-18 01:52:30,67,0.4153,2.3600,2.4153
2025-11-18 01:52:32,68,-0.0295,2.5200,2.3305
2025-11-18 01:52:34,69,-0.5459,1.7200,1.9741
2025-11-18 01:52:36,70,0.3309,2.3200,2.0509
2025-11-18 01:52:39,71,-0.1082,2.4800,2.2118
2025-11-18 01:52:41,72,-0.2442,2.1200,2.2358
2025-11-18 01:52:43,73,-0.0035,2.3200,2.1165
2025-11-18 01:52:45,74,-0.0354,2.2400,2.2846
2025-11-18 01:52:48,75,0.1548,2.4000,2.3948
2025-11-18 01:52:50,76,-0.0975,2.3600,2.3025
2025-11-18 01:52:52,77,-0.2752,2.1200,2.0848
2025-11-18 01:52:54,78,0.3306,2.4800,2.4506
2025-11-18 01:52:57,79,0.3908,3.2400,2.8708
2025-11-18 01:52:59,80,-1.3588,1.4400,1.8812
2025-11-18 01:53:01,81,0.7275,2.2000,2.1675
2025-11-18 01:53:03,82,-0.3334,1.8000,1.8666
2025-11-18 01:53:05,83,0.2455,2.2400,2.0455
2025-11-18 01:53:07,84,-0.3910,1.8000,1.8490
2025-11-18 01:53:09,85,0.3110,2.1200,2.1110
2025-11-18 01:53:11,86,-0.1751,1.4800,1.9449
2025-11-18 01:53:13,87,0.5857,1.7600,2.0657
2025-11-18 01:53:15,88,0.1417,1.6000,1.9017
2025-11-18 01:53:17,89,0.2898,1.8000,1.8898
2025-11-18 01:53:19,90,0.3154,2.4800,2.1154
2025-11-18 01:53:21,91,-0.4967,1.6000,1.9833
2025-11-18 01:53:24,92,1.0060,2.7200,2.6060
2025-11-18 01:53:26,93,-0.8718,1.4800,1.8482
2025-11-18 01:53:28,94,0.4559,1.5600,1.9359
2025-11-18 01:53:29,95,0.3531,1.6000,1.9131
2025-11-18 01:53:33,96,1.5753,4.1600,3.1753
2025-11-18 01:53:35,97,-1.8463,2.4400,2.3137
2025-11-18 01:53:37,98,-0.1189,2.6400,2.3211
2025-11-18 01:53:39,99,-0.4348,2.2000,2.2052
2025-11-18 01:53:42,100,-0.0346,2.2000,2.1654
2025-11-18 01:53:44,101,-0.1100,2.0800,2.0900
2025-11-18 01:53:46,102,-0.0054,2.1200,2.0746
2025-11-18 01:53:48,103,-0.1658,1.8000,1.9542
2025-11-18 01:53:50,104,0.1853,1.7600,1.9853
2025-11-18 01:53:53,105,1.5452,4.7200,3.3052
2025-11-18 01:53:55,106,-2.6436,2.0400,2.0764
2025-11-18 01:53:57,107,-0.1669,1.8400,1.8731
2025-11-18 01:53:59,108,0.2718,1.9200,2.1118
2025-11-18 01:54:01,109,-0.0434,1.8000,1.8766
2025-11-18 01:54:03,110,-0.0410,1.6800,1.7590
2025-11-18 01:54:05,111,0.2908,1.8000,1.9708
2025-11-18 01:54:07,112,0.0727,1.4800,1.8727
2025-11-18 01:54:09,113,0.5583,1.8800,2.0383
2025-11-18 01:54:11,114,0.2129,1.9600,2.0929
2025-11-18 01:54:13,115,0.1772,2.3200,2.1372
2025-11-18 01:54:15,116,-0.2666,1.6400,2.0534
2025-11-18 01:54:17,117,0.3338,1.7200,1.9738
2025-11-18 01:54:19,118,0.5348,2.4400,2.2548
2025-11-18 01:54:21,119,-0.0929,2.4000,2.3471
2025-11-18 01:54:24,120,-0.1503,2.2400,2.2497
2025-11-18 01:54:25,121,-0.4588,1.6800,1.7812
2025-11-18 01:54:28,122,0.5089,2.2000,2.1889
2025-11-18 01:54:29,123,-0.3227,1.3200,1.8773
2025-11-18 01:54:32,124,1.1767,2.7600,2.4967
2025-11-18 01:54:35,125,-0.0530,3.0800,2.7070
2025-11-18 01:54:37,126,-0.6958,2.7600,2.3842
2025-11-18 01:54:39,127,-0.8215,2.1600,1.9385
2025-11-18 01:54:41,128,-0.2458,1.6000,1.9142
2025-11-18 01:54:43,129,0.5610,2.0400,2.1610
2025-11-18 01:54:45,130,-0.0157,1.7600,2.0243
2025-11-18 01:54:47,131,0.5345,2.3600,2.2945
2025-11-18 01:54:49,132,-0.3035,1.9600,2.0565
2025-11-18 01:54:51,133,0.0886,1.7600,2.0486
2025-11-18 01:54:54,134,0.6367,2.7200,2.3967
2025-11-18 01:54:56,135,-0.3315,2.7200,2.3885
2025-11-18 01:54:58,136,-0.7009,1.9600,2.0191
2025-11-18 01:55:00,137,0.0218,2.0000,1.9818
2025-11-18 01:55:02,138,0.0111,1.7600,2.0111
2025-11-18 01:55:05,139,0.7260,2.9600,2.4860
2025-11-18 01:55:07,140,-0.7114,2.2800,2.2486
2025-11-18 01:55:09,141,-0.1745,2.1600,2.1055
2025-11-18 01:55:11,142,0.0252,2.3200,2.1852
2025-11-18 01:55:13,143,-0.2623,1.8000,2.0577
2025-11-18 01:55:16,144,0.5073,2.5600,2.3073
2025-11-18 01:55:18,145,-0.4258,2.1200,2.1342
2025-11-18 01:55:19,146,-0.6385,0.6400,1.4815
2025-11-18 01:55:21,147,1.3606,2.1600,2.0006
2025-11-18 01:55:23,148,-0.2837,1.8400,1.8763
2025-11-18 01:55:25,149,0.1974,2.0400,2.0374
2025-11-18 01:55:27,150,0.0060,1.9600,2.0460
2025-11-18 01:55:30,151,0.4325,2.5200,2.3925
2025-11-18 01:55:32,152,-0.3591,2.2000,2.1609
2025-11-18 01:55:33,153,-0.5336,1.3600,1.6664
2025-11-18 01:55:35,154,0.5832,1.6400,1.9432
2025-11-18 01:55:38,155,0.8983,2.8400,2.5383
2025-11-18 01:55:40,156,-0.5222,2.4400,2.3178
2025-11-18 01:55:43,157,0.0361,3.0400,2.4761
2025-11-18 01:55:45,158,-0.9710,2.0800,2.0690
2025-11-18 01:55:47,159,0.0021,2.1200,2.0821
2025-11-18 01:55:49,160,-0.0580,2.1600,2.0620
2025-11-18 01:55:51,161,-0.2219,1.7600,1.9381
2025-11-18 01:55:53,162,0.4568,2.4800,2.2168
2025-11-18 01:55:55,163,-0.5519,1.8400,1.9281
2025-11-18 01:55:57,164,0.1526,1.9600,1.9926
2025-11-18 01:55:59,165,0.1085,2.1200,2.0685
2025-11-18 01:56:01,166,0.0537,2.3200,2.1737
2025-11-18 01:56:04,167,0.4783,3.1200,2.7983
2025-11-18 01:56:06,168,-0.9613,1.9600,2.1587
2025-11-18 01:56:08,169,0.2886,2.4000,2.2486
2025-11-18 01:56:11,170,0.1077,2.7200,2.5077
2025-11-18 01:56:13,171,-0.7915,1.7600,1.9285
2025-11-18 01:56:15,172,0.4059,2.2400,2.1659
2025-11-18 01:56:17,173,-0.2533,2.1600,1.9867
2025-11-18 01:56:19,174,0.1836,2.6000,2.3436
2025-11-18 01:56:21,175,-0.6389,1.8800,1.9611
2025-11-18 01:56:24,176,0.4868,2.5200,2.3668
2025-11-18 01:56:26,177,-0.2316,2.6400,2.2884
2025-11-18 01:56:28,178,-0.9250,1.1600,1.7150
2025-11-18 01:56:30,179,0.8227,1.7600,1.9827
2025-11-18 01:56:32,180,0.4698,2.4000,2.2298
2025-11-18 01:56:34,181,-0.4677,1.6000,1.9323
2025-11-18 01:56:35,182,0.1223,1.4400,1.7223
2025-11-18 01:56:38,183,0.8843,2.5600,2.3243
2025-11-18 01:56:40,184,-0.2641,2.4000,2.2959
2025-11-18 01:56:42,185,0.0295,2.5600,2.4295
2025-11-18 01:56:44,186,-0.5860,1.7600,1.9740
2025-11-18 01:56:46,187,0.2003,1.7200,1.9603
2025-11-18 01:56:49,188,0.3577,2.1200,2.0777
2025-11-18 01:56:50,189,-0.2438,1.7200,1.8762
2025-11-18 01:56:52,190,0.2624,1.9600,1.9824
2025-11-18 01:56:54,191,0.1485,2.2400,2.1085
2025-11-18 01:56:56,192,-0.2224,1.9600,2.0176
2025-11-18 01:56:59,193,0.6380,2.9200,2.5980
2025-11-18 01:57:01,194,-0.9008,2.1600,2.0192
2025-11-18 01:57:03,195,-0.1537,2.0000,2.0063
2025-11-18 01:57:05,196,-0.0848,1.7600,1.9152
2025-11-18 01:57:07,197,0.6275,2.6000,2.3875
2025-11-18 01:57:09,198,-0.7258,1.5600,1.8742
2025-11-18 01:57:12,199,0.7696,2.4400,2.3296
2025-11-18 01:57:13,200,-0.5745,1.6000,1.8655
2025-11-18 01:57:16,201,0.5690,2.2000,2.1690
2025-11-18 01:57:17,202,-0.3665,1.6800,1.8335
2025-11-18 01:57:19,203,0.1879,2.0000,1.8679
2025-11-18 01:57:21,204,-0.5760,0.9600,1.4240
2025-11-18 01:57:23,205,0.9120,1.8400,1.8720
2025-11-18 01:57:25,206,0.3601,2.2000,2.2001
2025-11-18 01:57:27,207,-0.4337,1.6400,1.7663
2025-11-18 01:57:29,208,0.6646,2.6000,2.3046
2025-11-18 01:57:31,209,-0.8727,1.5200,1.7273
2025-11-18 01:57:33,210,0.5479,2.1600,2.0679
2025-11-18 01:57:35,211,0.2776,2.7600,2.4376
2025-11-18 01:57:37,212,-0.8106,2.0000,1.9494
2025-11-18 01:57:39,213,0.1524,2.2000,2.1524
2025-11-18 01:57:41,214,-0.4005,1.4800,1.7995
2025-11-18 01:57:43,215,0.4977,2.0000,1.9777
2025-11-18 01:57:45,216,-0.1032,1.6400,1.8968
2025-11-18 01:57:47,217,0.6024,2.4800,2.2424
2025-11-18 01:57:49,218,-0.4505,2.1200,2.0295
2025-11-18 01:57:51,219,-0.0561,2.1200,2.0639
2025-11-18 01:57:53,220,-0.0539,2.3200,2.0661
2025-11-18 01:57:55,221,-0.3616,2.1600,1.9584
2025-11-18 01:57:57,222,0.1697,2.9600,2.3297
2025-11-18 01:58:00,223,-0.8224,2.2000,2.1376
2025-11-18 01:58:02,224,-0.1376,2.1200,2.0624
2025-11-18 01:58:04,225,0.0503,2.2000,2.1703
2025-11-18 01:58:06,226,-0.3414,1.4400,1.8586
2025-11-18 01:58:08,227,0.6024,2.1600,2.0424
2025-11-18 01:58:10,228,-0.1922,1.9600,1.9678
2025-11-18 01:58:12,229,0.0277,1.9600,1.9877
2025-11-18 01:58:17,230,3.7854,9.6400,5.7454
2025-11-18 01:58:20,231,-7.3260,2.6000,2.3140
2025-11-18 01:58:22,232,-0.5460,2.3200,2.0540
2025-11-18 01:58:24,233,-0.1285,2.2800,2.1915
2025-11-18 01:58:26,234,0.1512,2.9200,2.4312
2025-11-18 01:58:28,235,-1.1226,1.8400,1.7974
2025-11-18 01:58:30,236,0.1455,1.9200,1.9855
2025-11-18 01:58:33,237,0.7301,3.0000,2.6501
2025-11-18 01:58:35,238,-1.0827,1.7200,1.9173
2025-11-18 01:58:37,239,0.2984,2.0400,2.0184
2025-11-18 01:58:39,240,0.3256,2.8000,2.3656
2025-11-18 01:58:42,241,-0.2809,2.7200,2.5191
2025-11-18 01:58:44,242,-0.8107,1.5600,1.9093
2025-11-18 01:58:46,243,0.5671,2.0000,2.1271
2025-11-18 01:58:48,244,0.1982,2.1200,2.1982
2025-11-18 01:58:50,245,-0.2539,1.5600,1.8661
2025-11-18 01:58:52,246,0.6945,2.4000,2.2545
2025-11-18 01:58:54,247,-0.1311,2.6400,2.2689
2025-11-18 01:58:56,248,-0.5106,2.1600,2.1294
2025-11-18 01:58:59,249,0.3025,2.6000,2.4625
2025-11-18 01:59:01,250,-0.2868,2.3600,2.3132
2025-11-18 01:59:03,251,-0.3049,1.8800,2.0551
2025-11-18 01:59:05,252,0.3015,2.2000,2.1815
2025-11-18 01:59:07,253,-0.1446,2.1600,2.0554
2025-11-18 01:59:10,254,0.2281,2.6000,2.3881
2025-11-18 01:59:11,255,-0.9967,1.0000,1.6033
2025-11-18 01:59:13,256,1.0762,2.3200,2.0762
2025-11-18 01:59:16,257,0.1485,2.7200,2.4685
2025-11-18 01:59:18,258,-0.7459,1.8800,1.9741
2025-11-18 01:59:20,259,0.2183,2.0400,2.0983
2025-11-18 01:59:22,260,0.3432,2.6000,2.3832
2025-11-18 01:59:25,261,-0.3794,2.6400,2.2206
2025-11-18 01:59:27,262,-0.5473,2.3200,2.0927
2025-11-18 01:59:29,263,-0.4193,1.7200,1.9007
2025-11-18 01:59:31,264,0.7034,2.7600,2.4234
2025-11-18 01:59:33,265,-0.6623,2.0400,2.0977
2025-11-18 01:59:35,266,0.2886,2.4000,2.3286
2025-11-18 01:59:38,267,-0.0347,2.6000,2.3653
2025-11-18 01:59:41,268,0.2933,3.4000,2.8933
2025-11-18 01:59:43,269,-1.5629,1.6400,1.8371
2025-11-18 01:59:45,270,0.4595,2.1600,2.0995
2025-11-18 01:59:47,271,-0.0397,2.2000,2.1203
2025-11-18 01:59:49,272,-0.0289,2.0800,2.1711
2025-11-18 01:59:51,273,0.0665,2.1600,2.1465
2025-11-18 01:59:53,274,-0.0327,2.2400,2.1273
2025-11-18 01:59:55,275,0.0019,2.6400,2.2419
2025-11-18 01:59:57,276,-0.6450,1.9200,1.9950
2025-11-18 02:00:00,277,0.4161,2.4400,2.3361
2025-11-18 02:00:02,278,-0.2903,2.1200,2.1497
2025-11-18 02:00:04,279,-0.2311,1.8400,1.8889
2025-11-18 02:00:06,280,0.3007,2.2000,2.1407
2025-11-18 02:00:08,281,0.0905,2.5600,2.2905
2025-11-18 02:00:10,282,-0.6050,1.6000,1.9550
2025-11-18 02:00:12,283,0.6966,2.4000,2.2966
2025-11-18 02:00:14,284,-0.4461,1.6400,1.9539
2025-11-18 02:00:17,285,0.5252,2.2000,2.1652
2025-11-18 02:00:19,286,-0.2285,1.8000,1.9715
2025-11-18 02:00:21,287,0.3758,2.2000,2.1758
2025-11-18 02:00:23,288,-0.0777,2.3200,2.1223
2025-11-18 02:00:25,289,-0.3221,2.0000,1.9979
2025-11-18 02:00:27,290,0.1138,2.1200,2.1138
2025-11-18 02:00:29,291,0.1332,2.2400,2.2532
2025-11-18 02:00:31,292,-0.3481,1.4400,1.8919
2025-11-18 02:00:33,293,0.6329,2.1600,2.0729
2025-11-18 02:00:35,294,-0.1352,2.0000,2.0248
2025-11-18 02:00:37,295,0.0850,1.7200,2.0850
2025-11-18 02:00:39,296,0.3509,1.8000,2.0709
2025-11-18 02:00:41,297,0.0491,1.6400,1.8491
